Section,Task,Type,Backend Data Needed,Start Date,End Date,Est. Days
,,,,,,
--- PHASE 1: CURRENT PLATFORM (Pending Work) ---,,,,,,
,,,,,,
Dynamic Failover,Make SLA threshold inputs saveable,UI + Backend,Threshold values (latency/jitter/loss/MOS warn and fail limits for Fiber and 5G),2026-07-07,2026-07-09,3
Dynamic Failover,Re-probe button functionality,UI + Backend,Gateway probe trigger and result status,2026-07-07,2026-07-08,2
Dynamic Failover,Tune SLA recommendation modal,UI + Backend,AI-recommended threshold values with reasoning,2026-07-09,2026-07-11,3
Dynamic Failover,Failover event history log,UI + Backend,List of past failover events with timestamps and reasons,2026-07-10,2026-07-14,3
Dynamic Failover,Per-tunnel bandwidth chart,UI Only,N/A - data already available from live stream,2026-07-10,2026-07-11,2
Dynamic Failover,Connect simulation to real gateway,UI + Backend,Simulation session start/stop with app profiles,2026-07-14,2026-07-18,5
App-Aware Routing,Replace demo data with real policies,UI + Backend,List of routing policies with categories and stats per branch,2026-07-07,2026-07-10,4
App-Aware Routing,Create new policy,UI + Backend,Accept new policy details and return created record,2026-07-10,2026-07-14,3
App-Aware Routing,Edit existing policy,UI + Backend,Accept policy updates and return modified record,2026-07-14,2026-07-15,2
App-Aware Routing,Delete policy,UI + Backend,Delete by ID and confirm removal,2026-07-15,2026-07-15,1
App-Aware Routing,Enable/disable toggle persist,UI + Backend,Toggle state and confirm applied to gateway,2026-07-15,2026-07-16,1
App-Aware Routing,Live traffic stats per policy,UI + Backend,Real-time hits/min and throughput per policy pushed every 10s,2026-07-16,2026-07-21,4
App-Aware Routing,Policy templates library,UI + Backend,Pre-built policy sets available for import,2026-07-21,2026-07-23,3
Traffic Policy,Replace demo data with real policies,UI + Backend,List of traffic policies per branch (app/priority/path/enabled),2026-07-07,2026-07-09,3
Traffic Policy,Create new policy form,UI + Backend,Accept new policy and return created record,2026-07-09,2026-07-11,3
Traffic Policy,Edit existing policy,UI + Backend,Accept updates and return modified record,2026-07-11,2026-07-14,2
Traffic Policy,Delete policy,UI + Backend,Delete by ID and confirm,2026-07-14,2026-07-14,1
Traffic Policy,Enable/disable toggle persist,UI + Backend,Toggle state and confirm pushed to gateway,2026-07-14,2026-07-15,1
Traffic Policy,Drag-and-drop priority reorder,UI + Backend,New ordering of policy IDs applied to gateway,2026-07-15,2026-07-17,3
Overview,Branch info from real data,UI + Backend,Branch details: name/location/gateway model/firmware/uptime,2026-07-07,2026-07-09,3
Overview,WAN link status live,UI + Backend,Current Fiber and 5G link state/speed/signal quality,2026-07-09,2026-07-10,2
Overview,Refresh button,UI Only,N/A - re-fetches existing data,2026-07-10,2026-07-10,1
Overview,Export dashboard as PDF,UI Only,N/A - generated in browser,2026-07-21,2026-07-22,2
Fleet,Fleet stats from real data,UI + Backend,Per-branch health score/uptime/device count/throughput/alerts,2026-07-10,2026-07-15,4
Fleet,Branch row click navigation,UI Only,N/A - routing fix,2026-07-15,2026-07-15,1
Connectivity,Fiber link deep metrics,UI + Backend,Optical power/attenuation/FCS errors/uptime/SFP temp,2026-07-14,2026-07-16,3
Connectivity,5G link deep metrics,UI + Backend,RSSI/SINR/band/cell ID/neighbor count,2026-07-14,2026-07-16,3
Connectivity,Reachability probes,UI + Backend,Probe results: target/category/RTT/success rate/last check,2026-07-16,2026-07-18,3
Connectivity,Connection event log,UI + Backend,Recent network events: timestamp/type/severity/description,2026-07-18,2026-07-22,3
Connectivity,RX/TX bandwidth chart live,UI + Backend,Receive and transmit bandwidth in 30-min intervals for 24h,2026-07-22,2026-07-23,2
Devices,Add device form,UI + Backend,Accept new device info (name/type/MAC/IP/domain),2026-07-14,2026-07-16,3
Devices,Export device inventory,UI Only,N/A - CSV generated in browser,2026-07-16,2026-07-16,1
Devices,Device telemetry history charts,UI + Backend,24h history per device: CPU/temp/power/WiFi signal readings,2026-07-16,2026-07-21,4
Devices,Bulk device actions,UI + Backend,Accept list of device IDs + action and return results per device,2026-07-21,2026-07-23,3
NaaS,Service catalog from real data,UI + Backend,Active services: name/tier/capacity/usage %/cost/SLA,2026-07-21,2026-07-23,3
