Task ID,Section,Task Name,Type,Description,Backend Data Expected (API / Payload),Priority,Complexity,Estimated Days,Start Date,End Date,Status,Dependencies

,,,,,,,,,,,,
,,"=== DYNAMIC FAILOVER (Path Selection) ===",,,,,,,,,,,

DF-001,Dynamic Failover,SLA Threshold Editor - Save Functionality,UI + Backend,"Wire onChange handlers to threshold inputs and POST updated values to backend","PATCH /api/path/thresholds — Body: { thresholds: [{metric: 'latency'|'jitter'|'loss'|'mos', fiber: {warn: number, fail: number}, fiveg: {warn: number, fail: number}}] } — Response: {ok: boolean}",High,Medium,3,2025-07-07,2025-07-09,Pending,None

DF-002,Dynamic Failover,Re-probe Button Implementation,UI + Backend,"Trigger gateway re-probe and show pending state until fresh metrics arrive","POST /api/gateway/probe — Body: {gateway_id: string, branch_id: string} — Response: {pending: boolean, eta_seconds: number, message: string}",High,Low,2,2025-07-07,2025-07-08,Pending,None

DF-003,Dynamic Failover,Tune SLA Button - Modal & Logic,UI,"Open modal with SLA tuning recommendations based on current traffic patterns. Pre-fill optimal thresholds from AI analysis","GET /api/path/thresholds/recommendations — Response: {recommended: PathThreshold[], reasoning: string, confidence: number}",Medium,Medium,3,2025-07-09,2025-07-11,Pending,DF-001

DF-004,Dynamic Failover,Application Simulation - Real Traffic Generation,Backend,"Connect simulation to gateway so it generates synthetic traffic matching app profiles instead of UI-only state","POST /api/gateway/simulate — Body: {apps: [{id: string, domain: 'IT'|'OT', bandwidth_mbps: number, priority: string}], duration_sec: number} — Response: {session_id: string, status: 'running'}",Low,High,5,2025-07-14,2025-07-18,Pending,DF-001

DF-005,Dynamic Failover,Failover Event History Log,UI + Backend,"Add a scrollable event log showing all failover events with timestamp and reason and affected flows","GET /api/failover/events?branch_id={id}&limit=50 — Response: {events: [{timestamp: ISO, from_path: string, to_path: string, reason: string, affected_flows: number, duration_ms: number}]}",Medium,Medium,3,2025-07-10,2025-07-14,Pending,None

DF-006,Dynamic Failover,Per-Tunnel Bandwidth Utilization Chart,UI,"Add stacked area chart showing per-tunnel bandwidth utilization over time (already have live data from SSE just need visualization)","Uses existing IpsecTunnelMetric[].txBytes/rxBytes from live SSE stream — no new API needed",Medium,Low,2,2025-07-10,2025-07-11,Pending,None

,,,,,,,,,,,,
,,"=== APPLICATION-AWARE ROUTING ===",,,,,,,,,,,

AR-001,App-Aware Routing,Connect Policies to Backend API,UI + Backend,"Replace mock appPolicies with real API fetch. Add loading/error states","GET /api/policies/app-routing?branch_id={id} — Response: {policies: AppPolicy[], categories: AppCategory[], stats: {total_apps: number, enabled: number, realtime: number, flows_per_min: number, throughput_mbps: number}}",High,Medium,4,2025-07-07,2025-07-10,Pending,None

AR-002,App-Aware Routing,Policy CRUD - Create New Policy,UI + Backend,"Wire 'New policy' modal form to POST endpoint with validation","POST /api/policies/app-routing — Body: {app: string, category: string, match: string, slaClass: string, preferredPath: string, backupPath: string} — Response: AppPolicy (with generated id)",High,Medium,3,2025-07-10,2025-07-14,Pending,AR-001

