Task ID,Section,Task Name,Type,What Needs To Be Done,What Data Is Needed From Backend Team,Priority,Complexity,Estimated Days,Start Date,End Date,Status,Depends On

,,,,,,,,,,,,
,,"--- INFRASTRUCTURE (Must Complete First) ---",,,,,,,,,,

XC-001,Infrastructure,Backend API Layer Setup,Backend,Set up the server-side foundation so all pages can fetch real data instead of showing demo content,Backend team needs to create API endpoints for each section - policies and fleet and connectivity and devices and costs and security and audit and gateways and settings,Critical,High,5,2025-07-01,2025-07-07,Not Started,None

XC-002,Infrastructure,Database Design,Backend,Design the database tables to store all application data permanently,Need database tables for: traffic policies - app routing policies - branch configs - device inventory - incidents - audit trail - user settings - gateway configurations,Critical,High,5,2025-07-01,2025-07-07,Not Started,None

XC-003,Infrastructure,User Login and Permissions,Backend,Add user authentication so only authorized staff can access the dashboard and make changes,Need login endpoint - token refresh endpoint - role-based access (admin vs viewer vs operator),Critical,High,5,2025-07-07,2025-07-11,Not Started,XC-001

XC-004,Infrastructure,Loading and Error States,UI,Show loading spinners and friendly error messages across all pages when data is being fetched or something goes wrong,No backend data needed - purely visual improvement on the frontend,Medium,Medium,3,2025-07-11,2025-07-15,Not Started,XC-001

XC-005,Infrastructure,Branch Selector Context,UI,Make the branch selector in the top bar pass the selected branch to every page so data is filtered correctly,No backend data needed - wiring up existing UI component,High,Low,2,2025-07-07,2025-07-08,Not Started,None

,,,,,,,,,,,,
,,"--- DYNAMIC FAILOVER ---",,,,,,,,,,

DF-001,Dynamic Failover,SLA Threshold Editor - Make Editable,UI + Backend,The SLA threshold inputs (latency jitter loss) currently display values but cannot be saved. Need to make them editable and persist changes.,Need an endpoint that accepts updated threshold values per metric (latency jitter loss MOS) with separate warn and fail limits for Fiber and 5G,High,Medium,3,2025-07-07,2025-07-09,Not Started,None

DF-002,Dynamic Failover,Re-probe Button,UI + Backend,The Re-probe button does nothing currently. It should trigger the gateway to re-measure link quality and return fresh results.,Need an endpoint that tells the gateway to run a fresh probe and returns a status (pending or complete),High,Low,2,2025-07-07,2025-07-08,Not Started,None

DF-003,Dynamic Failover,Tune SLA Recommendations,UI + Backend,Add a modal that shows AI-recommended optimal SLA thresholds based on current traffic patterns,Need an endpoint that returns recommended threshold values with a plain-English explanation of why those values are optimal,Medium,Medium,3,2025-07-09,2025-07-11,Not Started,DF-001

DF-004,Dynamic Failover,Application Simulation - Connect to Gateway,Backend,The simulation currently only updates the UI. It should actually tell the gateway to generate test traffic matching the selected app profiles.,Need an endpoint that starts a simulation session on the gateway with specified apps and bandwidth profiles and returns a session ID,Low,High,5,2025-07-14,2025-07-18,Not Started,DF-001

DF-005,Dynamic Failover,Failover Event History,UI + Backend,Add a scrollable log showing every time traffic switched between Fiber and 5G with timestamps and reasons,Need an endpoint that returns a list of past failover events including: when it happened - which path it switched from/to - why it switched - how many sessions were affected,Medium,Medium,3,2025-07-10,2025-07-14,Not Started,None

