Section,Task,Type,Backend Data Needed,Start Date,End Date,Est. Days
Dynamic Failover,Make SLA threshold inputs saveable,UI + Backend,Threshold values (latency/jitter/loss/MOS warn and fail limits for Fiber and 5G),2025-07-07,2025-07-09,3
Dynamic Failover,Re-probe button functionality,UI + Backend,Gateway probe trigger and result status,2025-07-07,2025-07-08,2
Dynamic Failover,Tune SLA recommendation modal,UI + Backend,AI-recommended threshold values with reasoning,2025-07-09,2025-07-11,3
Dynamic Failover,Failover event history log,UI + Backend,List of past failover events with timestamps and reasons,2025-07-10,2025-07-14,3
Dynamic Failover,Per-tunnel bandwidth chart,UI Only,N/A - data already available from live stream,2025-07-10,2025-07-11,2
Dynamic Failover,Connect simulation to real gateway,UI + Backend,Simulation session start/stop with app profiles,2025-07-14,2025-07-18,5
App-Aware Routing,Replace demo data with real policies,UI + Backend,List of routing policies with categories and stats per branch,2025-07-07,2025-07-10,4
App-Aware Routing,Create new policy,UI + Backend,Accept new policy details and return created record,2025-07-10,2025-07-14,3
App-Aware Routing,Edit existing policy,UI + Backend,Accept policy updates and return modified record,2025-07-14,2025-07-15,2
App-Aware Routing,Delete policy,UI + Backend,Delete by ID and confirm removal,2025-07-15,2025-07-15,1
App-Aware Routing,Enable/disable toggle persist,UI + Backend,Toggle state and confirm applied to gateway,2025-07-15,2025-07-16,1
App-Aware Routing,Live traffic stats per policy,UI + Backend,Real-time hits/min and throughput per policy pushed every 10s,2025-07-16,2025-07-21,4
App-Aware Routing,Policy templates library,UI + Backend,Pre-built policy sets available for import,2025-07-21,2025-07-23,3
Traffic Policy,Replace demo data with real policies,UI + Backend,List of traffic policies per branch (app/priority/path/enabled),2025-07-07,2025-07-09,3
Traffic Policy,Create new policy form,UI + Backend,Accept new policy and return created record,2025-07-09,2025-07-11,3
Traffic Policy,Edit existing policy,UI + Backend,Accept updates and return modified record,2025-07-11,2025-07-14,2
Traffic Policy,Delete policy,UI + Backend,Delete by ID and confirm,2025-07-14,2025-07-14,1
